Workload	Configuration	Runtime Cycles	Walk Cycles	Non-Walk Cycles
BTree	F	5773626780373	0	5773626780373
BTree	F+M	7735771268405	0	7735771268405
BTree	I	287543926969	0	287543926969
BTree	I+M	249373322590	0	249373322590
HashJoin	F	11535156868	0	11535156868
HashJoin	F+M	13853910839	0	13853910839
HashJoin	I	1728803087	0	1728803087
HashJoin	I+M	1908473986	0	1908473986
Canneal	F	5306698981249	0	5306698981249
Canneal	F+M	2218392873702	0	2218392873702
Canneal	I	1472643024963	0	1472643024963
Canneal	I+M	1442583248338	0	1442583248338
